04NbB,r1b2k2/p1p2p1Q/2qb3p/3p4/8/3B4/PPP2PPP/4R1K1 b - - 0 21,c8e6 e1e6 d6h2 g1h2 c6e6 h7h8 f8e7 h8a8,2160,108,73,27,crushing middlegame skewer veryLong,https://lichess.org/cMKqbSbn/black#42,
04Ncg,1r3rk1/2p4p/4pPp1/p2p2QN/7P/6P1/2q2KB1/3R3R w - - 0 32,f2g1 c2d1 g1h2 d1h5,1341,76,81,540,crushing hangingPiece middlegame short,https://lichess.org/yxRFDWJ7#63,
04Nk6,2b2r1k/p5bp/1p4p1/2p3q1/4p3/P1P1P1P1/BP1BQ2P/5RK1 b - - 8 23,c8g4 f1f8 g7f8 e2c4,1637,75,94,9602,crushing middlegame short,https://lichess.org/J6J5BYP9/black#46,
04Nyf,6k1/p3P1B1/4q1r1/1p6/2pP1Qp1/P2p1P2/1P3KP1/8 b - - 0 38,g8g7 f4f8 g7h7 e7e8q,1081,75,94,760,advancedPawn crushing endgame promotion short,https://lichess.org/5SBYMheY/black#76,
04O0s,8/8/3k1P2/2r5/1p2PK2/1B6/8/8 b - - 0 53,c5c3 e4e5 d6d7 e5e6 d7d6 e6e7 c3c8 b3f7,2664,84,87,231,advancedPawn clearance crushing endgame exposedKing veryLong,https://lichess.org/A9kDi12L/black#106,
04O8q,r3r3/1b2qpkp/p2p2n1/1ppPpQ2/4P1P1/1BP4R/PP3PP1/R5K1 b - - 4 27,e7f6 h3h7 g7h7 f5f6,1368,76,87,750,crushing deflection master middlegame short,https://lichess.org/IWH1uBLk/black#54,
04OCu,3rr1k1/ppp2ppp/1n6/8/3qp2P/PQ5R/1P2BPP1/4RK2 b - - 2 20,d4a4 b3a4 b6a4 e2b5 a4c5 b5e8,1750,76,97,7881,advantage fork long middlegame,https://lichess.org/Wu4qMxCX/black#40,
04OEL,6k1/pr4p1/1pRR3p/3pPr2/3P1p1q/P4P1P/1P1Q2P1/6K1 w - - 1 31,d6d8 h4d8 d2c2 f5f8,2099,75,91,934,advantage defensiveMove endgame hangingPiece short,https://lichess.org/Xv8RfXK9#61,
04OIv,3q2k1/pb1p2p1/1p1Pp1B1/2b2P2/2P4p/6PK/7P/4RR2 b - - 0 37,d8f6 f5e6 f6g6 e6d7 g6d6 e1e8 g8h7 d7d8q d6d8 e8d8,2187,75,87,358,advancedPawn advantage endgame promotion sacrifice veryLong,https://lichess.org/OUtjE8wm/black#74,
04OLf,2r5/5p2/b1r2k2/1pP1p1p1/4P1Pp/5N2/P4PK1/2RR4 b - - 0 34,c6c5 c1c5 c8c5 d1d6 f6e7 d6a6,1867,89,76,29,advantage endgame fork long,https://lichess.org/gHZqRW1P/black#68,
04OUJ,2k5/pp3p2/7R/3N4/5Pr1/8/Pn2r3/5R1K b - - 0 32,b2d3 h6h8 c8d7 d5f6,1071,79,94,1203,advantage endgame short,https://lichess.org/XC1Dr8OI/black#64,
04OYD,r1b1k2r/pppn3p/3bpqp1/3p1p2/3P3N/P3P1P1/1PPNBPP1/R2QK2R w KQkq - 4 11,h4g6 h7g6 h1h8 f6h8,1631,74,92,1394,advantage hangingPiece opening short,https://lichess.org/QYnRhe5u#21,Dutch_Defense,Dutch_Defense_Other_variations
